Day,Level,Hue
Day3,3,31.4075761
Day3,3,32.40493557
Day3,3,31.14153467
Day3,3,35.75074136
Day3,3,36.38551321
Day3,3,36.61402523
Day3,3,34.80495029
Day3,3,34.67686868
Day3,3,35.58545396
Day3,3,32.35151294
Day3,3,34.6006774
Day3,3,35.6202466
Day3,3,35.63890083
Day3,3,36.35107712
Day3,3,34.70806452
Day3,3,34.10915698
Day3,3,31.81923913
Day3,3,34.63027545
Day3,3,32.57676558
Day3,3,35.89405057
Day3,3,30.61717263
Day3,3,36.17893064
Day3,3,36.68181425
Day3,3,31.75489867
Day3,3,30.81816797
Day3,3,35.14684848
Day3,3,34.63672758
Day3,3,34.46281337
Day3,3,34.24250396
Day3,3,32.32185051
Day3,3,36.88278204
Day3,3,36.04638745
Day3,3,30.44342466
Day3,3,31.86188733
Day3,3,31.81914842
Day3,3,32.76598472
Day3,3,32.77723831
Day3,3,36.22213747
Day3,3,34.44943035
Day3,3,30.55714079
Day4,4,27.15511656
Day4,4,30.7076915
Day4,4,30.22260923
Day4,4,29.6303123
Day4,4,28.39475109
Day4,4,30.96302051
Day4,4,27.27210949
Day4,4,24.33285421
Day4,4,31.21002734
Day4,4,30.41342689
Day4,4,29.66678903
Day4,4,26.69264447
Day4,4,27.48570749
Day4,4,28.95277464
Day4,4,29.29426072
Day4,4,30.73204957
Day4,4,27.82492521
Day4,4,29.16123208
Day4,4,28.83735157
Day4,4,28.66977644
Day4,4,26.9654715
Day4,4,26.48653936
Day4,4,28.6047826
Day4,4,28.71724001
Day4,4,29.93264338
Day4,4,27.08915167
Day4,4,26.87850809
Day4,4,27.34431685
Day4,4,27.93085933
Day4,4,25.21139281
Day4,4,25.31818977
Day4,4,27.98712345
Day4,4,27.43436178
Day4,4,28.88355438
Day4,4,27.26467285
Day4,4,29.91485924
Day4,4,26.63905399
Day4,4,29.60977804
Day4,4,26.74072993
Day4,4,26.8125406
Day4,4,28.18553473
Day4,4,25.70277698
Day4,4,29.56084611
Day4,4,28.491974
Day4,4,30.78858744
Day4,4,30.1893309
Day4,4,27.7542918
Day4,4,27.72536981
Day4,4,29.22297757
Day4,4,29.54485152
Day4,4,30.51409636
Day4,4,30.64074121
Day4,4,30.08451025
Day4,4,30.41564926
Day4,4,30.29067701
Day4,4,27.63064338
Day4,4,26.36561276
Day4,4,29.04146492
Day4,4,30.18286339
Day4,4,30.71333749
Day5,5,20.0587343
Day5,5,21.57936492
Day5,5,20.4095597
Day5,5,25.38647973
Day5,5,20.91196211
Day5,5,23.01533279
Day5,5,23.90616544
Day5,5,21.91225414
Day5,5,25.77335237
Day5,5,22.21048071
Day5,5,21.11688599
Day5,5,20.56998681
Day5,5,20.81940821
Day5,5,23.68190141
Day5,5,24.43001909
Day5,5,24.74266145
Day5,5,25.82037718
Day5,5,23.93304438
Day5,5,25.32967022
Day5,5,21.49341773
Day5,5,20.46494747
Day5,5,22.02479931
Day5,5,24.91626091
Day5,5,23.54084934
Day5,5,22.55549057
Day5,5,23.36697985
Day5,5,24.36222438
Day5,5,22.07334192
Day5,5,23.40246298
Day5,5,23.93488372
Day5,5,22.43062396
Day5,5,23.21505805
Day5,5,23.91178343
Day5,5,24.17687228
Day5,5,23.35398954
Day5,5,24.45179199
Day5,5,25.23053296
Day5,5,23.94493988
Day5,5,23.60637349
Day5,5,24.349097
Day5,5,23.19563794
Day5,5,22.23687741
Day5,5,23.40837957
Day5,5,24.04581122
Day5,5,21.35752594
Day5,5,23.5514496
Day5,5,20.97792058
Day5,5,23.53234412
Day5,5,21.04810375
Day5,5,20.1876776
Day5,5,23.43244092
Day5,5,21.40097128
Day5,5,21.40081733
Day5,5,19.29313251
Day5,5,21.95952726
Day5,5,23.35813178
Day5,5,20.72213939
Day5,5,22.83161143
Day5,5,21.01482232
Day5,5,19.22877545
